Parent Cell,x,y,z,Daughter Cell A,x,y,z,Daughter Cell B,x,y,z
P0,422.07777778,248.31666666,14.326666666,P1,445.3393565,253.8605633875,15.23819611625,AB,317.785053825,251.80042565,14.70036533625
AB,317.785053825,251.80042565,14.70036533625,ABp,358.98412735,267.2765126875,14.87758774625,ABa,251.1503696625,254.4083624875,15.06383718375
P1,445.3393565,253.8605633875,15.23819611625,EMS,380.806094425,240.9462640375,15.0949706325,P2,489.6439353875,252.4161763,15.4385942575
ABa,251.1503696625,254.4083624875,15.06383718375,ABar,285.0467059375,268.8158069875,15.18162948625,ABal,223.0276970375,245.9936990875,15.47635926375
ABp,358.98412735,267.2765126875,14.87758774625,ABpr,410.7116492875,264.9469936375,14.93181156375,ABpl,351.0989584875,254.3836405125,15.31050525
P2,489.6439353875,252.4161763,15.4385942575,P3,501.819885075,247.4435226625,15.54214668875,C,454.07863055,262.890848875,15.42513003375
EMS,380.806094425,240.9462640375,15.0949706325,MS,346.9338562875,243.0266701375,14.66644114375,E,432.6886088875,249.09343005,15.53709975125
ABal,223.0276970375,245.9936990875,15.47635926375,ABalp,242.464728125,237.7061582625,15.527250415,ABala,213.12140965,257.4950707875,15.303375395
ABar,285.0467059375,268.8158069875,15.18162948625,ABarp,329.2359091,277.3430934375,15.3806736825,ABara,298.0093306375,262.2539351625,14.688905605
ABpl,351.0989584875,254.3836405125,15.31050525,ABplp,353.5002455375,238.3328286875,15.6882521425,ABpla,282.4308481625,257.285102425,15.58957578
ABpr,410.7116492875,264.9469936375,14.93181156375,ABprp,442.3363238875,256.029673575,14.8141148,ABpra,399.7654673,272.58985375,14.9382634575
C,454.07863055,262.890848875,15.42513003375,Cp,467.7115583,263.5736586375,15.45729870625,Ca,398.6028986,259.4625688,15.24209138375
P3,501.819885075,247.4435226625,15.54214668875,P4,458.5687175625,237.6282943,15.21732716625,D,502.8339735625,248.3478592875,15.54572799125
E,432.6886088875,249.09343005,15.53709975125,Ep,445.7888371875,247.3436190125,15.22587999875,Ea,403.6561410875,249.6521681125,15.27480772125
MS,346.9338562875,243.0266701375,14.66644114375,MSp,363.428951275,246.21360585,14.60027755125,MSa,301.2879952375,237.4424445375,14.99291964375
ABala,213.12140965,257.4950707875,15.303375395,ABalap,229.9191832625,266.7367609,15.54799668875,ABalaa,204.5349467875,255.8945048375,15.08994478375
ABalp,242.464728125,237.7061582625,15.527250415,ABalpp,271.5603695,235.9853221375,16.02553986,ABalpa,219.065737325,239.1526388375,15.583602735
ABara,298.0093306375,262.2539351625,14.688905605,ABarap,320.7283877625,266.8614433625,14.74722891375,ABaraa,264.2091216375,259.877717325,14.78627388875
ABarp,329.2359091,277.3430934375,15.3806736825,ABarpp,369.4115119,277.735316825,15.47830264875,ABarpa,296.4612039125,277.8054761125,15.3912325475
ABpla,282.4308481625,257.285102425,15.58957578,ABplap,326.0579009,257.861466525,15.5330304075,ABplaa,258.07933835,258.2536250875,15.9134624525
ABplp,353.5002455375,238.3328286875,15.6882521425,ABplpp,394.938767475,237.8356056875,15.976181735,ABplpa,335.8011011125,232.237792625,15.91399845625
ABpra,399.7654673,272.58985375,14.9382634575,ABprap,435.6021338875,276.174747425,15.14102977,ABpraa,373.348907075,277.652773475,14.93108575375
ABprp,442.3363238875,256.029673575,14.8141148,ABprpp,482.9915543625,260.7433145875,15.08752792375,ABprpa,423.971967,261.430650075,14.80598721875
Ca,398.6028986,259.4625688,15.24209138375,Cap,435.6006471875,253.2647995625,15.5612545675,Caa,379.5021826625,264.3335191875,15.34001518625
Cp,467.7115583,263.5736586375,15.45729870625,Cpp,504.2286469,253.8497175625,15.72828956625,Cpa,462.25389285,268.633027675,15.66872919875
D,502.8339735625,248.3478592875,15.54572799125,Dp,482.323181025,243.179955275,14.8597933,Da,463.00259315,236.2067770375,15.5706295225
Ea,403.6561410875,249.6521681125,15.27480772125,Ear,369.1362151875,257.102365675,14.5560316025,Eal,371.7831744875,242.277175775,15.0777837375
Ep,445.7888371875,247.3436190125,15.22587999875,Epr,448.9758524625,256.869949475,14.81277038,Epl,416.992742075,245.7332712625,15.04448888875
MSa,301.2879952375,237.4424445375,14.99291964375,MSap,329.15222215,234.529680075,14.86873361625,MSaa,272.7210683875,237.32759495,14.97960123125
MSp,363.428951275,246.21360585,14.60027755125,MSpp,390.809417,248.49255985,14.62691858,MSpa,324.281298975,244.4855799,14.650432595
P4,458.5687175625,237.6282943,15.21732716625,,,,,,,,
ABalaa,204.5349467875,255.8945048375,15.08994478375,ABalaap,227.3749115,248.2103345125,14.902155465,ABalaaa,197.0315137,257.065360475,14.9963821375
ABalap,229.9191832625,266.7367609,15.54799668875,ABalapp,257.6543689375,257.991198125,15.124922645,ABalapa,218.013403975,265.9387344375,15.456148715
ABalpa,219.065737325,239.1526388375,15.583602735,ABalpap,243.4659609,232.3277582125,15.38144682625,ABalpaa,206.2655229,243.136808525,15.54148796375
ABalpp,271.5603695,235.9853221375,16.02553986,ABalppp,297.9082910375,231.8768665125,15.5921726875,ABalppa,252.17963785,236.3270006125,16.044508115
ABaraa,264.2091216375,259.877717325,14.78627388875,ABaraap,280.343927175,254.9510055125,14.70914243,ABaraaa,238.68885635,264.2361982,14.79585569875
ABarap,320.7283877625,266.8614433625,14.74722891375,ABarapp,341.890843175,263.1233876125,14.53721085875,ABarapa,291.4656385625,271.4315708375,14.59540302
ABarpa,296.4612039125,277.8054761125,15.3912325475,ABarpap,309.9252427625,268.3152525375,14.86906399375,ABarpaa,267.4234513,276.6945018,15.35788739625
ABarpp,369.4115119,277.735316825,15.47830264875,ABarppp,377.1299503125,276.469538,15.29821202375,ABarppa,325.632145275,278.2309833375,15.59762392
ABplaa,258.07933835,258.2536250875,15.9134624525,ABplaap,275.867215075,249.14910215,15.5849351025,ABplaaa,242.5593308375,261.8637689625,15.97431541125
ABplap,326.0579009,257.861466525,15.5330304075,ABplapp,338.5804746875,249.6586411375,15.42439953125,ABplapa,301.5548422625,263.7251874625,15.47604456
ABplpa,335.8011011125,232.237792625,15.91399845625,ABplpap,371.7556097625,227.9442548125,15.63065621125,ABplpaa,322.1385309375,232.522523975,16.01252389625
ABplpp,394.938767475,237.8356056875,15.976181735,ABplppp,421.9675175625,233.5335466875,15.82439498625,ABplppa,377.2385274375,239.3303456875,15.88335523125
ABpraa,373.348907075,277.652773475,14.93108575375,ABpraap,381.2574613625,275.5720264375,14.84231974875,ABpraaa,334.05210145,281.7111584375,14.92925855625
ABprap,435.6021338875,276.174747425,15.14102977,ABpraap,381.2574613625,275.5720264375,14.84231974875,ABprapa,410.71077555,279.571275125,15.21380451625
ABprpa,423.971967,261.430650075,14.80598721875,ABprpap,457.2519570375,262.302041375,14.77928506,ABprpaa,422.8970806375,273.422023175,14.67746395125
ABprpp,482.9915543625,260.7433145875,15.08752792375,ABprppp,499.91637905,258.79575275,15.04657137125,ABprppa,488.7970901,271.8132003375,14.917869115
Caa,379.5021826625,264.3335191875,15.34001518625,Caap,444.1258349375,250.9021263875,15.68253361,Caaa,384.20487165,260.3205223,15.35676516625
Cap,435.6006471875,253.2647995625,15.5612545675,Capp,470.379308475,245.6898355125,15.75751713625,Capa,439.2218713375,244.3084386625,15.53393672125
Cpa,462.25389285,268.633027675,15.66872919875,Cpap,484.77274675,256.1838534375,15.72318073125,Cpaa,457.101685,270.3026369375,15.54642785125
Cpp,504.2286469,253.8497175625,15.72828956625,Cppp,496.3944012625,246.071324625,15.51964028625,Cppa,510.478642175,256.389901025,15.18598599625
Da,463.00259315,236.2067770375,15.5706295225,Dap,450.4642904375,240.7831752,14.862392695,Daa,420.9223138625,241.041065675,14.81265181875
Dp,482.323181025,243.179955275,14.8597933,Dpp,465.4561721875,253.4554038875,14.77279259125,Dpa,439.9610892875,254.792030025,14.74423211375
Eal,371.7831744875,242.277175775,15.0777837375,Ealp,363.777321675,245.467131225,14.77614012875,Eala,328.39615995,248.2203087875,14.874511605
Ear,369.1362151875,257.102365675,14.5560316025,Earp,374.1622434125,261.808928575,14.604078585,Eara,336.1564059,260.9822539875,14.76896916
Epl,416.992742075,245.7332712625,15.04448888875,Eplp,450.0145768,249.4783811125,14.99260476125,Epla,410.336013625,250.5968302125,14.93266498
Epr,448.9758524625,256.869949475,14.81277038,Eprp,458.2698896625,259.62531865,15.01597956,Epra,417.7102514,261.9990109875,14.8228023525
